koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,ra,dec,koi_kepmag,koi_kmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_eccen,koi_sma,koi_insol,koi_insol_err1,koi_insol_err2,koi_teq,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_incl,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_max_mult_ev,koi_max_sngle_ev,koi_tce_plnt_num,koi_bin_oedp_sig,koi_ldm_coeff1,koi_ldm_coeff2,koi_ldm_coeff3,koi_ldm_coeff4,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_disposition,k2_name,k2_hostname
,,,,,,0.41,0.112,-0.048,,,,,,,179.7058532,-3.3894613,16.014,11.933,15.2612,,,,,,28.1656,0.0027,-0.0028,1.87,0.2,-0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIRMED,EPIC 201238110 b,EPIC 201238110
,,,0.374,0.089,-0.035,,,,,,,,,,179.7058532,-3.3894613,16.014,11.933,15.2612,,,,,,28.1696,0.0038,-0.0043,2.2,0.54,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIRMED,EPIC 201238110 b,EPIC 201238110
,,,0.374,0.089,-0.035,,,,,,,,,,179.7058532,-3.3894613,16.014,11.933,15.2612,,,,,,7.90417,0.00091,-0.00148,2.06,0.53,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201238110.01,EPIC 201238110
3772.0,,,0.52,,,,,,,,,,,,179.7058532,-3.3894613,16.014,11.933,15.2612,,,,,,7.9069606,,,3.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201238110.01,EPIC 201238110
3875.0,,,0.56,,,,,,,,,,,,173.2627978,-3.3887192,15.657,12.282,15.1848,,,,,,1.0829614,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201238163.01,EPIC 201238163
,,,0.576,0.04,-0.028,,,,,,,,,,173.0528796,-3.370321,15.731,11.735,14.9247,,,,,,0.905655,4.9e-05,-5e-05,1.57,0.16,-0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201239401.01,EPIC 201239401
3710.0,,,0.5,,,,,,,,,,,,173.0528796,-3.370321,15.731,11.735,14.9247,,,,,,0.90552205,,,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201239401.01,EPIC 201239401
3834.0,,,0.55,,,,,,,,,,,,177.9464521,-3.2460183,17.3749,13.748,16.7664,,,,,,2.7541129,,,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201247497.01,EPIC 201247497
,,,0.89,0.063,-0.01,,,,,,,,,,177.9464521,-3.2460183,17.3749,13.748,16.7664,,,,,,2.75421,0.00012,-0.00012,8.4,1.2,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201247497.01,EPIC 201247497
3918.0,46.0,-46.0,0.436,0.027,-0.027,,,,4.846,0.05,-0.05,,,,177.9464521,-3.2460183,17.3749,13.748,16.7664,,,,,,2.75391,0.00015,-0.00015,3.78,0.68,-0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201247497.01,EPIC 201247497
